ts,iter,cand,axis,kp,ki,kd,cost
1771102762,1,1,ROLL,0.20250503546216334,0.2804841708604722,0.06711925517116513,0.0013249999999999978
1771102762,1,2,ROLL,0.1457555044307746,0.28582551797620154,0.0509073665471527,0.0013249999999999978
1771102762,1,3,ROLL,0.2537520451513427,0.3883791495954861,0.052589004141682376,0.0013249999999999978
1771102762,2,1,ROLL,0.22923420235093148,0.23566432999505027,0.050176453385389376,0.0013249999999999978
1771102762,2,2,ROLL,0.15757260109073945,0.32232913970860816,0.042625755297264256,0.0013249999999999978
1771102762,2,3,ROLL,0.2321090754319458,0.2961276797969295,0.05418417058767027,0.0013249999999999978
1771102762,3,1,ROLL,0.29154062759656857,0.31966420360897574,0.07746824399570801,0.0013249999999999978
1771102762,3,2,ROLL,0.2753803092561783,0.27766959427810706,0.04217266883847006,0.0013249999999999978
1771102762,3,3,ROLL,0.20707306403394599,0.2553948145537119,0.037434724015294955,0.0013249999999999978
1771102762,4,1,ROLL,0.2198427916429039,0.32400200691354597,0.04742675606133487,0.0013249999999999978
1771102762,4,2,ROLL,0.21928998193888374,0.3734027915975766,0.04606197620297981,0.0013249999999999978
1771102762,4,3,ROLL,0.17649366097211958,0.33373687756487563,0.04011280153637357,0.0013249999999999978
1771102762,5,1,ROLL,0.1766783090868151,0.33445314316833413,0.06548737916534063,0.0013249999999999978
1771102762,5,2,ROLL,0.22991470444367712,0.3673841978460873,0.049791845838784585,0.0013249999999999978
1771102762,5,3,ROLL,0.2755021952909854,0.21377576392297654,0.030127006128237058,0.0013249999999999978
1771102762,6,1,ROLL,0.16872736517226294,0.3274076301636962,0.0403339558550167,0.0013249999999999978
1771102762,6,2,ROLL,0.24175349498871646,0.3568273694006082,0.05710854889162521,0.0013249999999999978
1771102762,6,3,ROLL,0.19595465168481813,0.3451232542193013,0.038570107965273534,0.0013249999999999978
1771102776,1,1,ROLL,0.2665334962808516,0.36441882985859964,0.06604034584541849,0.0013249999999999978
1771102776,1,2,ROLL,0.1618764949025248,0.27176351749279265,0.050442061208863576,0.0013249999999999978
1771102776,2,1,ROLL,0.20243502237958305,0.16952472012497438,0.044214235345003204,0.0013249999999999978
1771102776,2,2,ROLL,0.15560778591741384,0.30442392384055555,0.06541821335217463,0.0013249999999999978
1771102776,3,1,ROLL,0.17848215269505344,0.30757591712841387,0.04901569904801939,0.0013249999999999978
1771102776,3,2,ROLL,0.15678432767071437,0.27860478278245354,0.04532873082939343,0.0013249999999999978
